"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","participant","uid","list","timestamp","condition","block","item_no","correct","responses"
"18589.73000000151","By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <a href=""mailto:stanfordpsych251@gmail.com""> stanfordpsych251@gmail.com</a>. You must be at least 18 years old to participate, and you must be a native English speaker and have normal or corrected-to-normal vision. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available <a href=""http://www.amazon.com/gp/help/customer/display.html?nodeId=16465241"">here</a>. <br /><br />[Press spacebar to continue.]","32","html-keyboard-response","0","18597","0.0-0.0","","ezhomjj7fn","1","1605121717436","","","","",""
"13589.475000000675","Each screen will show a sequence of five English words, which either form a grammatical English sentence (e.g. ""The cow eats the grass"") or an ungrammatical sequence (e.g. ""Planet orange a the mention""). Decide as rapidly and as accurately as possible if the sequence of words forms a grammatically correct sentence or not. Press the 'J' key with your right index finger if the sequence is grammatical, and press the 'F' key with your left index finger if the sequence is ungrammatical. A colored dot will then appear, indicating whether your response was correct (green) or incorrect (red).<br /><br />There will be two practice sequences, followed by four blocks of test sequences. Please sit about 60cm away from your screen, and display the task in full screen. This HIT takes around 10 minutes to complete; please complete it in one sitting. <br /><br />[Press spacebar to begin the practice.]","32","html-keyboard-response","1","32188","0.0-1.0","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","2","32876","0.0-2.0-0.0","","ezhomjj7fn","1","1605121717436","","","","",""
"1653.904999999213","<p class='stimulus'>It moved over there slowly</p>","70","html-keyboard-response","3","34532","0.0-2.0-1.0","","ezhomjj7fn","1","1605121717436","gram","0","2","false",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""red"" /></svg>","null","html-keyboard-response","4","36534","0.0-2.0-2.0","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","5","37221","0.0-2.0-0.1","","ezhomjj7fn","1","1605121717436","","","","",""
"2269.8250000012195","<p class='stimulus'>The white was cat big</p>","70","html-keyboard-response","6","39492","0.0-2.0-1.1","","ezhomjj7fn","1","1605121717436","transword","0","1","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","7","41493","0.0-2.0-2.1","","ezhomjj7fn","1","1605121717436","","","","",""
"7249.179999998887","You have completed the practice. You will now begin the experiment proper, which is composed of four blocks of sequences.<br /><br />[Press spacebar to begin the experiment.]","32","html-keyboard-response","8","48746","0.0-3.0","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","9","49291","0.0-4.0-0.0","","ezhomjj7fn","1","1605121717436","","","","",""
"1130.8900000003632","<p class='stimulus'>We will for come cold</p>","70","html-keyboard-response","10","50424","0.0-4.0-1.0","","ezhomjj7fn","1","1605121717436","control","1","64","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","11","52425","0.0-4.0-2.0","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","12","52970","0.0-4.0-0.1","","ezhomjj7fn","1","1605121717436","","","","",""
"1412.9649999995308","<p class='stimulus'>His lawn chair can fold</p>","74","html-keyboard-response","13","54384","0.0-4.0-1.1","","ezhomjj7fn","1","1605121717436","gram","1","125","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","14","56385","0.0-4.0-2.1","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","15","56931","0.0-4.0-0.2","","ezhomjj7fn","1","1605121717436","","","","",""
"2013.4299999990617","<p class='stimulus'>Her clever sister little passed</p>","70","html-keyboard-response","16","58947","0.0-4.0-1.2","","ezhomjj7fn","1","1605121717436","transword","1","5","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","17","60949","0.0-4.0-2.2","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","18","61494","0.0-4.0-0.3","","ezhomjj7fn","1","1605121717436","","","","",""
"1378.194999999323","<p class='stimulus'>The thin falls rod gently</p>","70","html-keyboard-response","19","62873","0.0-4.0-1.3","","ezhomjj7fn","1","1605121717436","transword","1","24","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","20","64875","0.0-4.0-2.3","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","21","65421","0.0-4.0-0.4","","ezhomjj7fn","1","1605121717436","","","","",""
"1492.1049999993556","<p class='stimulus'>Her desk has rounded corners</p>","74","html-keyboard-response","22","66914","0.0-4.0-1.4","","ezhomjj7fn","1","1605121717436","gram","1","124","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","23","68915","0.0-4.0-2.4","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","24","69461","0.0-4.0-0.5","","ezhomjj7fn","1","1605121717436","","","","",""
"901.9699999989825","<p class='stimulus'>The sweet bread is good</p>","74","html-keyboard-response","25","70364","0.0-4.0-1.5","","ezhomjj7fn","1","1605121717436","gram","1","85","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","26","72365","0.0-4.0-2.5","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","27","72910","0.0-4.0-0.6","","ezhomjj7fn","1","1605121717436","","","","",""
"1139.3049999987852","<p class='stimulus'>The brown bugs were eaten</p>","74","html-keyboard-response","28","74050","0.0-4.0-1.6","","ezhomjj7fn","1","1605121717436","gram","1","106","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","29","76052","0.0-4.0-2.6","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","30","76597","0.0-4.0-0.7","","ezhomjj7fn","1","1605121717436","","","","",""
"971.015000000989","<p class='stimulus'>The baker makes good pastries</p>","74","html-keyboard-response","31","77570","0.0-4.0-1.7","","ezhomjj7fn","1","1605121717436","gram","1","127","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","32","79571","0.0-4.0-2.7","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","33","80116","0.0-4.0-0.8","","ezhomjj7fn","1","1605121717436","","","","",""
"1166.574999999284","<p class='stimulus'>My wooden is cabin forget</p>","70","html-keyboard-response","34","81285","0.0-4.0-1.8","","ezhomjj7fn","1","1605121717436","control","1","44","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","35","83286","0.0-4.0-2.8","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","36","83831","0.0-4.0-0.9","","ezhomjj7fn","1","1605121717436","","","","",""
"1074.109999999564","<p class='stimulus'>The cough syrup was helpful</p>","74","html-keyboard-response","37","84907","0.0-4.0-1.9","","ezhomjj7fn","1","1605121717436","gram","1","86","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","38","86908","0.0-4.0-2.9","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","39","87453","0.0-4.0-0.10","","ezhomjj7fn","1","1605121717436","","","","",""
"1444.005000001198","<p class='stimulus'>His short felt girlfriend dinner</p>","70","html-keyboard-response","40","88899","0.0-4.0-1.10","","ezhomjj7fn","1","1605121717436","control","1","63","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","41","90901","0.0-4.0-2.10","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","42","91446","0.0-4.0-0.11","","ezhomjj7fn","1","1605121717436","","","","",""
"902.9849999988073","<p class='stimulus'>She threw out the flour</p>","74","html-keyboard-response","43","92349","0.0-4.0-1.11","","ezhomjj7fn","1","1605121717436","gram","1","83","true",""
"null","<svg width=""40"" height=""40""><circle             cx=""20"" cy=""20"" r=""20"" fill=""green"" /></svg>","null","html-keyboard-response","44","94351","0.0-4.0-2.11","","ezhomjj7fn","1","1605121717436","","","","",""
"null","<p class=""stimulus"">+</p>","null","html-keyboard-response","45","94896","0.0-4.0-0.12","","ezhomjj7fn","1","1605121717436","","","","",""
"979.3699999991077","<p class='stimulus'>Our father many loves sick</p>","70","html-keyboard-response","46","95876","0.0-4.0-1.12","","ezhomjj7fn","1","1605121717436","control","1","47","true",""
